//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0315
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=1750      
StartTime=2022/09/06 09:23:52
EndTime=2022/09/06 09:26:46
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/08/27
Ch1=-7.027595e-01,+2.161007e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.714067e+00,+1.062201e-03,-1.196327e-08,+2.638040e-13,-3.010376e-18,+2.176796e-23,+0.000000e+00,+0.000000e+00,
Ch4=+5.010445e-02,+3.809940e+01,+3.164015e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-4.734926e+00,+7.539691e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-8.423751e+00,+1.271962e-02,+6.610446e-08,+2.867850e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.240523e+01,+2.142968e+06,-5.590543e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,+0.000000e+00,+1.000000e+00,
Ch9=-5.569065e+00,+1.069652e-03,-1.276158e-08,+2.996936e-13,-3.733113e-18,+2.715745e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2022/09/06,09:23:53,-0.2365,36.504,0.033,0.065,52.011,993.531,-6.468,0.20,0.20,-0.01,92.43,6.308,8.13,6.322,6.322,
2022/09/06,09:23:53,-0.2365,36.505,0.033,0.065,51.952,993.531,-6.468,0.22,0.22,0.00,92.51,6.314,8.15,6.328,6.328,
2022/09/06,09:23:53,-0.2365,36.514,0.033,0.065,51.832,993.527,-6.472,0.20,0.20,0.01,92.53,6.316,8.14,6.330,6.330,
2022/09/06,09:23:53,-0.2365,36.526,0.033,0.065,52.089,993.523,-6.476,0.23,0.23,0.01,92.55,6.319,8.16,6.333,6.332,
2022/09/06,09:23:54,-0.2365,36.529,0.033,0.065,51.933,993.522,-6.477,0.24,0.24,-0.04,92.55,6.319,8.16,6.333,6.332,
2022/09/06,09:23:54,-0.2365,36.508,0.033,0.065,52.062,993.529,-6.470,0.20,0.20,0.00,92.53,6.317,8.15,6.331,6.331,
2022/09/06,09:23:54,-0.2365,36.454,0.033,0.065,51.981,993.549,-6.450,0.21,0.21,-0.01,92.45,6.310,8.16,6.324,6.324,
2022/09/06,09:23:54,-0.2365,36.394,0.033,0.065,52.062,993.570,-6.429,0.20,0.20,-0.01,92.33,6.300,8.17,6.314,6.314,
2022/09/06,09:23:54,-0.2365,36.335,0.033,0.065,52.118,993.591,-6.408,0.20,0.20,-0.03,92.27,6.295,8.16,6.309,6.309,
2022/09/06,09:23:54,-0.2365,36.275,0.033,0.065,52.147,993.612,-6.387,0.22,0.22,-0.01,92.21,6.290,8.16,6.304,6.304,
2022/09/06,09:23:54,-0.2365,36.227,0.033,0.065,52.177,993.629,-6.370,0.19,0.19,0.01,92.23,6.289,8.16,6.303,6.303,
2022/09/06,09:23:54,-0.2580,36.200,0.033,0.065,52.060,993.638,-6.360,0.14,0.14,-0.04,92.22,6.288,8.16,6.302,6.302,
2022/09/06,09:23:54,-0.2365,36.218,0.033,0.065,52.216,993.632,-6.367,0.17,0.17,0.01,92.23,6.288,8.17,6.302,6.302,
2022/09/06,09:23:54,-0.2365,36.251,0.033,0.065,52.282,993.621,-6.378,0.21,0.21,0.00,92.24,6.288,8.16,6.302,6.302,
2022/09/06,09:23:55,-0.2365,36.273,0.033,0.065,52.198,993.613,-6.386,0.21,0.21,-0.03,92.19,6.283,8.18,6.297,6.297,
2022/09/06,09:23:55,-0.2365,36.295,0.033,0.065,52.179,993.605,-6.394,0.20,0.20,-0.04,92.14,6.279,8.16,6.293,6.293,
2022/09/06,09:23:55,-0.2365,36.321,0.033,0.065,52.233,993.596,-6.403,0.20,0.20,-0.03,92.13,6.278,8.17,6.291,6.291,
2022/09/06,09:23:55,-0.2365,36.361,0.033,0.065,52.084,993.582,-6.417,0.22,0.22,-0.01,92.06,6.271,8.18,6.285,6.285,
2022/09/06,09:23:55,-0.2365,36.393,0.033,0.065,52.151,993.570,-6.429,0.20,0.20,0.00,91.98,6.265,8.17,6.279,6.279,
2022/09/06,09:23:55,-0.2365,36.434,0.033,0.065,52.065,993.556,-6.443,0.23,0.23,0.01,92.04,6.268,8.19,6.281,6.281,
2022/09/06,09:23:55,-0.2365,36.474,0.033,0.065,52.045,993.542,-6.457,0.19,0.19,0.01,92.06,6.268,8.17,6.282,6.281,
2022/09/06,09:23:55,-0.2365,36.515,0.033,0.065,51.912,993.527,-6.472,0.22,0.22,0.01,92.02,6.264,8.17,6.278,6.278,
2022/09/06,09:23:55,-0.2365,36.539,0.033,0.065,51.983,993.518,-6.481,0.20,0.20,0.00,92.03,6.264,8.16,6.278,6.278,
2022/09/06,09:23:55,-0.2365,36.551,0.033,0.065,51.796,993.514,-6.485,0.21,0.21,-0.03,92.12,6.271,8.18,6.285,6.285,
2022/09/06,09:23:56,-0.2365,36.553,0.033,0.065,51.946,993.513,-6.486,0.18,0.18,0.01,92.18,6.277,8.18,6.291,6.291,
2022/09/06,09:23:56,-0.2365,36.538,0.033,0.065,51.967,993.519,-6.480,0.21,0.21,-0.05,92.17,6.278,8.19,6.292,6.292,
2022/09/06,09:23:56,-0.2365,36.528,0.033,0.065,52.024,993.522,-6.477,0.19,0.19,-0.01,92.17,6.281,8.19,6.295,6.295,
2022/09/06,09:23:56,-0.2365,36.497,0.033,0.065,51.994,993.533,-6.466,0.23,0.23,0.01,92.29,6.293,8.16,6.307,6.307,
2022/09/06,09:23:56,-0.2365,36.438,0.033,0.065,51.981,993.554,-6.445,0.19,0.19,0.01,92.40,6.303,8.16,6.317,6.317,
2022/09/06,09:23:56,-0.2365,36.384,0.033,0.065,52.076,993.573,-6.426,0.22,0.22,0.01,92.47,6.309,8.19,6.323,6.323,
2022/09/06,09:23:56,-0.2365,36.330,0.033,0.065,52.101,993.593,-6.406,0.20,0.20,0.00,92.44,6.310,8.19,6.324,6.324,
2022/09/06,09:23:56,-0.2365,36.286,0.033,0.065,52.252,993.608,-6.391,0.21,0.21,-0.01,92.51,6.317,8.16,6.331,6.331,
2022/09/06,09:23:56,-0.2365,36.264,0.033,0.065,52.252,993.616,-6.383,0.21,0.21,-0.01,92.55,6.322,8.18,6.336,6.336,
2022/09/06,09:23:56,-0.2365,36.269,0.033,0.065,52.259,993.614,-6.385,0.20,0.20,0.00,92.64,6.331,8.16,6.345,6.345,
2022/09/06,09:23:57,-0.2365,36.271,0.034,0.065,52.372,993.614,-6.385,0.17,0.17,-0.04,92.67,6.334,8.19,6.348,6.348,
2022/09/06,09:23:57,-0.2365,36.280,0.033,0.065,52.173,993.610,-6.389,0.21,0.21,0.04,92.74,6.339,8.18,6.354,6.353,
2022/09/06,09:23:57,-0.2365,36.287,0.034,0.065,52.360,993.608,-6.391,0.19,0.19,0.03,92.84,6.349,8.18,6.363,6.363,
2022/09/06,09:23:57,-0.2365,36.290,0.033,0.065,52.117,993.607,-6.392,0.22,0.22,0.01,92.78,6.346,8.19,6.361,6.360,
2022/09/06,09:23:57,-0.2365,36.277,0.034,0.065,52.302,993.611,-6.388,0.20,0.20,0.00,92.83,6.351,8.19,6.365,6.365,
2022/09/06,09:23:57,-0.2365,36.261,0.033,0.065,52.233,993.617,-6.382,0.21,0.21,-0.01,92.96,6.359,8.16,6.374,6.373,
2022/09/06,09:23:57,-0.2365,36.251,0.034,0.065,52.352,993.621,-6.378,0.20,0.20,0.04,92.91,6.357,8.18,6.371,6.371,
2022/09/06,09:23:57,-0.2365,36.212,0.033,0.065,52.210,993.635,-6.364,0.19,0.19,-0.01,92.93,6.359,8.19,6.373,6.373,
2022/09/06,09:23:57,-0.2365,36.154,0.034,0.065,52.409,993.655,-6.344,0.22,0.22,0.00,92.88,6.358,8.19,6.373,6.373,
2022/09/06,09:23:57,-0.2365,36.103,0.033,0.065,52.302,993.673,-6.326,0.19,0.19,0.01,92.98,6.367,8.19,6.382,6.381,
2022/09/06,09:23:58,-0.2580,36.094,0.034,0.065,52.466,993.676,-6.323,0.17,0.17,-0.01,93.03,6.371,8.19,6.385,6.385,
2022/09/06,09:23:58,-0.2365,36.116,0.033,0.065,52.284,993.668,-6.331,0.23,0.23,0.05,93.02,6.369,8.19,6.384,6.383,
2022/09/06,09:23:58,-0.2365,36.142,0.034,0.065,52.482,993.659,-6.340,0.20,0.20,0.03,92.83,6.356,8.16,6.370,6.370,
2022/09/06,09:23:58,-0.2580,36.171,0.033,0.065,52.155,993.649,-6.350,0.21,0.21,-0.01,92.80,6.352,8.19,6.367,6.367,
2022/09/06,09:23:58,-0.2365,36.215,0.034,0.065,52.400,993.633,-6.366,0.20,0.20,-0.03,92.75,6.348,8.19,6.362,6.362,
2022/09/06,09:23:58,-0.2365,36.264,0.033,0.065,52.098,993.616,-6.383,0.20,0.20,-0.03,92.79,6.348,8.19,6.362,6.362,
2022/09/06,09:23:58,-0.2365,36.309,0.033,0.065,52.059,993.600,-6.399,0.22,0.22,-0.01,92.64,6.337,8.16,6.351,6.351,
2022/09/06,09:23:58,-0.2580,36.338,0.033,0.065,52.175,993.590,-6.409,0.19,0.19,0.01,92.55,6.330,8.19,6.344,6.344,
2022/09/06,09:23:58,-0.2365,36.351,0.034,0.065,52.288,993.585,-6.414,0.22,0.22,0.01,92.46,6.323,8.19,6.337,6.337,
2022/09/06,09:23:58,-0.2365,36.377,0.033,0.065,52.132,993.576,-6.423,0.19,0.19,0.00,92.53,6.327,8.19,6.342,6.341,
2022/09/06,09:23:59,-0.2365,36.403,0.033,0.065,52.042,993.567,-6.432,0.20,0.20,-0.04,92.43,6.321,8.18,6.335,6.335,
2022/09/06,09:23:59,-0.2365,36.427,0.033,0.065,52.118,993.558,-6.441,0.22,0.22,-0.01,92.48,6.325,8.19,6.340,6.339,
2022/09/06,09:23:59,-0.2365,36.429,0.033,0.065,52.136,993.558,-6.441,0.20,0.20,-0.04,92.66,6.341,8.19,6.356,6.356,
2022/09/06,09:23:59,-0.2365,36.438,0.033,0.065,52.082,993.554,-6.445,0.20,0.20,-0.03,92.74,6.349,8.19,6.363,6.363,
2022/09/06,09:23:59,-0.2365,36.429,0.033,0.065,51.885,993.558,-6.441,0.17,0.17,0.03,92.69,6.347,8.19,6.362,6.362,
2022/09/06,09:23:59,-0.2150,36.358,0.033,0.065,52.014,993.583,-6.416,0.19,0.19,0.06,92.69,6.348,8.19,6.362,6.362,
2022/09/06,09:23:59,-0.2365,36.254,0.034,0.065,52.319,993.620,-6.379,0.22,0.22,0.03,92.59,6.342,8.16,6.357,6.357,
2022/09/06,09:23:59,-0.2365,36.118,0.034,0.065,52.367,993.668,-6.331,0.19,0.19,0.01,92.62,6.348,8.21,6.362,6.362,
2022/09/06,09:23:59,-0.2365,35.996,0.034,0.065,52.546,993.711,-6.288,0.22,0.22,0.00,92.67,6.354,8.19,6.369,6.369,
2022/09/06,09:23:59,-0.2365,35.852,0.034,0.065,52.503,993.761,-6.238,0.20,0.20,-0.01,92.71,6.360,8.20,6.374,6.374,
2022/09/06,09:24:00,-0.2365,35.724,0.034,0.065,52.752,993.806,-6.193,0.22,0.22,0.01,92.74,6.366,8.20,6.381,6.380,
2022/09/06,09:24:00,-0.2365,35.661,0.034,0.065,52.683,993.828,-6.171,0.21,0.21,-0.05,92.78,6.371,8.19,6.386,6.386,
2022/09/06,09:24:00,-0.2365,35.608,0.034,0.065,52.782,993.846,-6.153,0.22,0.22,-0.03,92.88,6.380,8.19,6.394,6.394,
2022/09/06,09:24:00,-0.2580,35.567,0.034,0.065,52.805,993.861,-6.138,0.19,0.19,0.01,92.76,6.372,8.19,6.387,6.387,
2022/09/06,09:24:00,-0.2365,35.569,0.034,0.065,52.866,993.860,-6.139,0.23,0.23,0.01,92.70,6.370,8.20,6.385,6.384,
2022/09/06,09:24:00,-0.2365,35.597,0.034,0.065,52.840,993.850,-6.149,0.19,0.19,-0.03,92.75,6.372,8.19,6.387,6.387,
2022/09/06,09:24:00,-0.2365,35.636,0.034,0.065,52.837,993.837,-6.162,0.22,0.22,0.00,92.74,6.371,8.20,6.386,6.385,
2022/09/06,09:24:00,-0.2365,35.665,0.034,0.065,52.825,993.827,-6.172,0.20,0.20,-0.01,92.75,6.371,8.18,6.385,6.385,
2022/09/06,09:24:00,-0.2365,35.687,0.034,0.065,52.644,993.819,-6.180,0.20,0.20,-0.03,92.68,6.365,8.19,6.380,6.379,
2022/09/06,09:24:00,-0.2365,35.672,0.034,0.065,52.593,993.824,-6.175,0.21,0.21,-0.01,92.67,6.363,8.19,6.378,6.378,
2022/09/06,09:24:01,-0.2365,35.606,0.034,0.065,52.785,993.847,-6.152,0.24,0.24,0.01,92.70,6.365,8.21,6.379,6.379,
2022/09/06,09:24:01,-0.2365,35.510,0.034,0.065,52.809,993.881,-6.118,0.20,0.20,-0.01,92.69,6.364,8.20,6.379,6.379,
2022/09/06,09:24:01,-0.2365,35.416,0.034,0.065,52.931,993.913,-6.086,0.23,0.23,0.01,92.78,6.371,8.19,6.386,6.386,
2022/09/06,09:24:01,-0.2365,35.328,0.034,0.065,53.193,993.944,-6.055,0.19,0.19,0.01,92.94,6.383,8.20,6.398,6.398,
2022/09/06,09:24:01,-0.2365,35.235,0.034,0.065,53.103,993.976,-6.023,0.22,0.22,0.00,92.89,6.381,8.19,6.396,6.396,
2022/09/06,09:24:01,-0.2365,35.196,0.034,0.065,53.319,993.990,-6.009,0.20,0.20,-0.01,92.91,6.385,8.22,6.399,6.399,
2022/09/06,09:24:01,-0.2365,35.231,0.034,0.065,53.124,993.978,-6.021,0.21,0.21,-0.01,92.86,6.381,8.20,6.396,6.396,
2022/09/06,09:24:01,-0.2365,35.289,0.034,0.065,53.035,993.957,-6.042,0.21,0.21,-0.01,92.85,6.381,8.20,6.396,6.396,
2022/09/06,09:24:01,-0.2365,35.338,0.034,0.065,52.940,993.941,-6.058,0.20,0.20,0.00,92.81,6.378,8.20,6.393,6.393,
2022/09/06,09:24:01,-0.2365,35.384,0.034,0.065,53.057,993.924,-6.075,0.23,0.23,0.01,92.74,6.374,8.20,6.389,6.389,
2022/09/06,09:24:02,-0.2365,35.433,0.034,0.065,52.898,993.907,-6.092,0.24,0.24,-0.01,92.79,6.377,8.20,6.392,6.392,
2022/09/06,09:24:02,-0.2365,35.450,0.034,0.065,52.932,993.901,-6.097,0.19,0.19,0.04,92.69,6.372,8.20,6.386,6.386,
2022/09/06,09:24:02,-0.2365,35.453,0.034,0.065,53.058,993.900,-6.099,0.22,0.22,0.01,92.67,6.372,8.19,6.387,6.386,
2022/09/06,09:24:02,-0.2365,35.445,0.034,0.065,53.049,993.903,-6.096,0.20,0.20,0.00,92.75,6.378,8.18,6.393,6.393,
2022/09/06,09:24:02,-0.2365,35.439,0.034,0.065,53.054,993.905,-6.094,0.21,0.21,-0.03,92.79,6.382,8.20,6.397,6.397,
2022/09/06,09:24:02,-0.2365,35.392,0.034,0.065,52.855,993.922,-6.077,0.20,0.20,-0.03,92.83,6.387,8.20,6.402,6.402,
2022/09/06,09:24:02,-0.2365,35.335,0.034,0.065,53.137,993.941,-6.057,0.20,0.20,-0.01,92.83,6.390,8.19,6.406,6.405,
2022/09/06,09:24:02,-0.2365,35.328,0.034,0.065,52.901,993.944,-6.055,0.22,0.22,0.00,92.85,6.394,8.19,6.409,6.409,
2022/09/06,09:24:02,-0.2365,35.331,0.034,0.065,53.123,993.943,-6.056,0.19,0.19,0.01,92.85,6.395,8.20,6.411,6.410,
2022/09/06,09:24:02,-0.2365,35.299,0.034,0.065,53.075,993.954,-6.045,0.22,0.22,0.01,92.87,6.398,8.20,6.413,6.413,
2022/09/06,09:24:03,-0.2365,35.245,0.034,0.065,53.255,993.973,-6.026,0.23,0.23,-0.04,92.91,6.401,8.19,6.416,6.416,
2022/09/06,09:24:03,-0.2365,35.191,0.034,0.065,53.208,993.991,-6.008,0.19,0.19,0.01,92.92,6.401,8.19,6.417,6.416,
2022/09/06,09:24:03,-0.2150,35.181,0.034,0.065,53.170,993.995,-6.004,0.21,0.21,-0.01,92.74,6.390,8.19,6.406,6.405,
2022/09/06,09:24:03,-0.2365,35.203,0.034,0.065,53.262,993.987,-6.012,0.20,0.20,-0.03,92.93,6.403,8.19,6.418,6.418,
2022/09/06,09:24:03,-0.2365,35.241,0.034,0.065,53.161,993.974,-6.025,0.20,0.20,0.01,92.89,6.401,8.19,6.416,6.416,
2022/09/06,09:24:03,-0.2365,35.276,0.034,0.065,53.143,993.962,-6.037,0.22,0.22,0.00,92.83,6.396,8.18,6.412,6.411,
2022/09/06,09:24:03,-0.2365,35.272,0.034,0.065,53.083,993.963,-6.036,0.19,0.19,0.01,92.72,6.387,8.20,6.402,6.402,
2022/09/06,09:24:03,-0.2365,35.230,0.034,0.065,53.107,993.978,-6.021,0.22,0.22,0.01,92.74,6.387,8.16,6.402,6.402,
2022/09/06,09:24:03,-0.2365,35.181,0.034,0.065,53.170,993.995,-6.004,0.18,0.18,0.01,92.77,6.388,8.20,6.403,6.402,
2022/09/06,09:24:03,-0.2365,35.168,0.034,0.065,53.392,993.999,-6.000,0.21,0.21,-0.01,92.74,6.385,8.20,6.400,6.400,
2022/09/06,09:24:04,-0.2365,35.185,0.034,0.065,53.150,993.993,-6.006,0.22,0.22,0.03,92.62,6.377,8.20,6.392,6.392,
2022/09/06,09:24:04,-0.2580,35.208,0.034,0.065,53.096,993.985,-6.013,0.23,0.23,-0.01,92.67,6.379,8.20,6.394,6.394,
2022/09/06,09:24:04,-0.2365,35.229,0.034,0.065,53.141,993.978,-6.021,0.23,0.23,-0.05,92.66,6.377,8.20,6.392,6.392,
2022/09/06,09:24:04,-0.2365,35.242,0.034,0.065,53.240,993.974,-6.025,0.21,0.21,-0.03,92.70,6.379,8.19,6.394,6.393,
2022/09/06,09:24:04,-0.2365,35.278,0.034,0.065,53.011,993.961,-6.038,0.20,0.20,0.00,92.65,6.374,8.20,6.389,6.388,
2022/09/06,09:24:04,-0.2365,35.330,0.034,0.065,52.882,993.943,-6.056,0.22,0.22,0.00,92.65,6.373,8.20,6.388,6.388,
2022/09/06,09:24:04,-0.2365,35.377,0.034,0.065,53.079,993.927,-6.072,0.19,0.19,0.01,92.61,6.370,8.19,6.385,6.384,
2022/09/06,09:24:04,-0.2365,35.421,0.034,0.065,53.086,993.912,-6.087,0.22,0.22,0.01,92.72,6.377,8.19,6.392,6.392,
2022/09/06,09:24:04,-0.2365,35.472,0.034,0.065,52.764,993.894,-6.105,0.20,0.20,-0.01,92.69,6.375,8.20,6.390,6.390,
2022/09/06,09:24:04,-0.2365,35.529,0.034,0.065,52.823,993.874,-6.125,0.21,0.21,-0.03,92.56,6.365,8.20,6.380,6.380,
2022/09/06,09:24:05,-0.2365,35.585,0.034,0.065,52.704,993.854,-6.144,0.19,0.19,0.00,92.46,6.358,8.19,6.373,6.373,
2022/09/06,09:24:05,-0.2365,35.638,0.034,0.065,52.719,993.836,-6.163,0.20,0.20,-0.06,92.55,6.364,8.20,6.379,6.379,
2022/09/06,09:24:05,-0.2365,35.689,0.034,0.065,52.623,993.818,-6.181,0.19,0.19,-0.01,92.54,6.363,8.20,6.377,6.377,
2022/09/06,09:24:05,-0.2365,35.730,0.034,0.065,52.633,993.804,-6.195,0.22,0.22,0.00,92.49,6.359,8.20,6.374,6.374,
2022/09/06,09:24:05,-0.2365,35.764,0.034,0.065,52.713,993.792,-6.207,0.19,0.19,0.01,92.50,6.360,8.20,6.375,6.375,
2022/09/06,09:24:05,-0.2365,35.788,0.034,0.065,52.707,993.784,-6.215,0.23,0.23,0.03,92.42,6.354,8.22,6.369,6.369,
2022/09/06,09:24:05,-0.2365,35.810,0.034,0.065,52.719,993.776,-6.223,0.19,0.19,0.01,92.45,6.358,8.20,6.372,6.372,
2022/09/06,09:24:05,-0.2365,35.838,0.033,0.065,52.435,993.766,-6.233,0.21,0.21,-0.01,92.45,6.359,8.22,6.374,6.374,
2022/09/06,09:24:05,-0.2365,35.863,0.034,0.065,52.556,993.757,-6.242,0.20,0.20,-0.03,92.45,6.358,8.20,6.373,6.373,
2022/09/06,09:24:05,-0.2365,35.891,0.034,0.065,52.514,993.747,-6.252,0.20,0.20,-0.03,92.37,6.352,8.20,6.367,6.367,
2022/09/06,09:24:06,-0.2365,35.890,0.034,0.065,52.483,993.748,-6.251,0.17,0.17,0.03,92.46,6.359,8.21,6.374,6.373,
2022/09/06,09:24:06,-0.2365,35.907,0.034,0.065,52.483,993.742,-6.257,0.21,0.21,-0.03,92.51,6.362,8.23,6.377,6.377,
2022/09/06,09:24:06,-0.2365,35.934,0.034,0.065,52.458,993.732,-6.267,0.19,0.19,0.00,92.56,6.365,8.20,6.380,6.380,
2022/09/06,09:24:06,-0.2365,35.945,0.033,0.065,52.432,993.729,-6.270,0.22,0.22,0.01,92.54,6.363,8.22,6.378,6.377,
2022/09/06,09:24:06,-0.2365,35.951,0.034,0.065,52.458,993.726,-6.273,0.19,0.19,0.01,92.50,6.360,8.19,6.375,6.375,
2022/09/06,09:24:06,-0.2365,35.966,0.034,0.065,52.475,993.721,-6.278,0.22,0.22,0.00,92.38,6.352,8.20,6.367,6.367,
2022/09/06,09:24:06,-0.2365,35.978,0.034,0.065,52.545,993.717,-6.282,0.20,0.20,-0.01,92.41,6.355,8.18,6.370,6.370,
2022/09/06,09:24:06,-0.2365,35.982,0.034,0.065,52.443,993.715,-6.284,0.21,0.21,-0.03,92.35,6.351,8.20,6.366,6.366,
